case_name,time_s,thermal_los_x_urad,thermal_los_y_urad,thermal_los_norm_urad,nonthermal_error_x_urad,nonthermal_error_y_urad,nonthermal_error_norm_urad,thermal_plus_nonthermal_error_x_urad,thermal_plus_nonthermal_error_y_urad,thermal_plus_nonthermal_error_norm_urad,static_bias_correction_success,static_bias_correction_acquisition_time_s,static_bias_correction_residual_x_urad,static_bias_correction_residual_y_urad,static_bias_correction_residual_norm_urad,static_bias_correction_pointing_error_x_urad,static_bias_correction_pointing_error_y_urad,static_bias_correction_pointing_error_norm_urad,static_bias_correction_thermal_residual_norm_urad,static_bias_correction_scan_index,fourier_ff_correction_success,fourier_ff_correction_acquisition_time_s,fourier_ff_correction_residual_x_urad,fourier_ff_correction_residual_y_urad,fourier_ff_correction_residual_norm_urad,fourier_ff_correction_pointing_error_x_urad,fourier_ff_correction_pointing_error_y_urad,fourier_ff_correction_pointing_error_norm_urad,fourier_ff_correction_thermal_residual_norm_urad,fourier_ff_correction_scan_index,fourier_plus_drift_correction_success,fourier_plus_drift_correction_acquisition_time_s,fourier_plus_drift_correction_residual_x_urad,fourier_plus_drift_correction_residual_y_urad,fourier_plus_drift_correction_residual_norm_urad,fourier_plus_drift_correction_pointing_error_x_urad,fourier_plus_drift_correction_pointing_error_y_urad,fourier_plus_drift_correction_pointing_error_norm_urad,fourier_plus_drift_correction_thermal_residual_norm_urad,fourier_plus_drift_correction_scan_index,fourier_ff_correction_with_nonthermal_success,fourier_ff_correction_with_nonthermal_acquisition_time_s,fourier_ff_correction_with_nonthermal_residual_x_urad,fourier_ff_correction_with_nonthermal_residual_y_urad,fourier_ff_correction_with_nonthermal_residual_norm_urad,fourier_ff_correction_with_nonthermal_pointing_error_x_urad,fourier_ff_correction_with_nonthermal_pointing_error_y_urad,fourier_ff_correction_with_nonthermal_pointing_error_norm_urad,fourier_ff_correction_with_nonthermal_thermal_residual_norm_urad,fourier_ff_correction_with_nonthermal_scan_index
06_LTAN06_800km_1213COLD_PX_STTLCT_HEAT_PX_0p5,4235.0,-712.0022898378317,-594.7838152606735,927.7472972907863,257.37082666119363,-311.00176639150754,403.68532437395345,-454.631463176638,-905.785581652181,1013.4778178327884,1.0,2.3000000000000003,-3.303219044159732,-0.5372536856826855,3.3466248036610207,-83.30321904415973,-0.5372536856826855,83.30495150134857,83.30495150134857,22.0,1.0,0.1,9.180060649320126,-0.44575315222857625,9.190876421643235,9.180060649320126,-0.44575315222857625,9.190876421643235,9.190876421643235,0.0,1.0,0.9,-10.925793006880781,11.833998584889287,16.10641100110036,-50.92579300688078,11.833998584889287,52.282692316739286,52.282692316739286,8.0,1.0,25.700000000000003,-13.449112689486242,8.55248045626388,15.938116390881184,266.55088731051376,-311.4475195437361,409.93771838654726,9.190876421643235,256.0
06_LTAN06_800km_1213COLD_PX_STTLCT_HEAT_PX_0p5,4295.5,-715.9431888616508,-594.2195231066464,930.4146878239185,411.2431445863264,-312.05060310992417,516.2329928147925,-304.7000442753244,-906.2701262165706,956.1211527071156,1.0,2.3000000000000003,-7.244118067978889,0.02703846834435808,7.24416852796707,-87.24411806797889,0.02703846834435808,87.2441222578244,87.2441222578244,22.0,1.0,0.1,7.173359754614353,-0.11196489931705855,7.174233499670886,7.173359754614353,-0.11196489931705855,7.174233499670886,7.174233499670886,0.0,1.0,0.9,-12.300649275776664,12.038699657944335,17.21151539115176,-52.300649275776664,12.038699657944335,53.66831657618848,53.66831657618848,8.0,1.0,40.6,18.416504340940776,7.837431990758773,20.014818818806717,418.4165043409408,-312.1625680092412,522.0324127590324,7.174233499670886,405.0
06_LTAN06_800km_1213COLD_PX_STTLCT_HEAT_PX_0p5,4356.0,-719.654313447542,-593.5113449900919,932.8226238120519,276.0815298695876,-330.2499489373115,430.44864956023366,-443.5727835779544,-923.7612939274034,1024.7398413692742,1.0,2.3000000000000003,-10.955242653870073,0.7352165848989216,10.97988547444301,-90.95524265387007,0.7352165848989216,90.95821408565088,90.95821408565088,22.0,1.0,0.1,4.466414586568817,0.2473842052039572,4.47326035505414,4.466414586568817,0.2473842052039572,4.47326035505414,4.47326035505414,0.0,1.0,0.9,-14.236928749432309,12.24060014766701,18.775580741790062,-54.23692874943231,12.24060014766701,55.6010497396053,55.6010497396053,8.0,1.0,25.700000000000003,0.5479444561564151,-10.002564732107544,10.017561796516866,280.5479444561564,-330.00256473210754,433.1383634225251,4.47326035505414,256.0
06_LTAN06_800km_1213COLD_PX_STTLCT_HEAT_PX_0p5,4416.5,-723.1524201010171,-592.6612527299586,934.9849106725743,397.8874616995436,-415.01721622553373,574.938015738477,-325.2649584014735,-1007.6784689554923,1058.8735476724298,1.0,2.3000000000000003,-14.453349307345206,1.5853088450321593,14.540031304446128,-94.4533493073452,1.5853088450321593,94.46665231450464,94.46665231450464,22.0,1.0,0.1,1.287509436949449,0.5991794789664482,1.420104432162787,1.287509436949449,0.5991794789664482,1.420104432162787,1.420104432162787,0.0,1.0,0.9,-16.627550836409682,12.431347541414539,20.760873019042855,-56.62755083640968,12.431347541414539,57.97601155155118,57.97601155155118,8.0,1.0,40.300000000000004,-0.8250288635069296,-14.418036746567282,14.441622355226714,399.17497113649307,-414.4180367465673,575.3980941597732,1.420104432162787,402.0
06_LTAN06_800km_1213COLD_PX_STTLCT_HEAT_PX_0p5,4477.0,-726.4672601519356,-591.6646989458548,936.9214460408882,8.669525005112476,48.90810733290202,49.67055089991387,-717.7977351468231,-542.7565916129528,899.8990534061131,1.0,2.3000000000000003,-17.768189358263726,2.581862629136026,17.954792332601496,-97.76818935826373,2.581862629136026,97.8022743346444,97.8022743346444,22.0,1.0,0.1,-2.102743926020139,0.9183397089052505,2.2945325971462616,-2.102743926020139,0.9183397089052505,2.2945325971462616,2.2945325971462616,0.0,1.0,0.9,-19.341124756132558,12.61226074442959,23.090002769981716,-59.34112475613256,12.61226074442959,60.666615270743165,60.666615270743165,8.0,1.0,0.4,6.5667810790923795,9.826447041807228,11.81870023336609,6.5667810790923795,49.82644704180723,50.257312289364876,2.2945325971462616,3.0
06_LTAN06_800km_1213COLD_PX_STTLCT_HEAT_PX_0p5,4537.5,-729.6070481738717,-590.5271005627841,938.6419451761565,-208.5458916888703,304.77958130115735,369.2993123719767,-938.152939862742,-285.74751926162673,980.7051459726716,1.0,2.3000000000000003,-20.90797738019978,3.7194610122066933,21.236240447693923,-100.90797738019978,3.7194610122066933,100.97650364903826,100.97650364903826,22.0,1.0,0.1,-5.397973830919568,1.1737304233679424,5.524107582771354,-5.397973830919568,1.1737304233679424,5.524107582771354,5.524107582771354,0.0,1.0,2.3000000000000003,17.800527037145457,12.77839561331723,21.912237613958816,-62.19947296285454,12.77839561331723,63.49851833946457,63.49851833946457,22.0,1.0,23.200000000000003,-13.943865519789824,-14.046688275474708,19.792443940613857,-213.94386551978982,305.9533117245253,373.33551471666135,5.524107582771354,231.0
06_LTAN06_800km_1213COLD_PX_STTLCT_HEAT_PX_0p5,4598.0,-732.5979338076448,-589.2517210397624,940.1687738738999,-304.9012832256959,248.83716711327054,393.55397120297715,-1037.4992170333408,-340.41455392649186,1091.9188128564174,1.0,2.3000000000000003,-23.898863013972914,4.994840535228377,24.41524288908474,-103.89886301397291,4.994840535228377,104.0188548656861,104.0188548656861,22.0,1.0,0.1,-8.308960998348766,1.3426540527020734,8.41674240887282,-8.308960998348766,1.3426540527020734,8.41674240887282,8.41674240887282,0.0,1.0,2.3000000000000003,14.96887792461223,12.931110311937118,19.780822030983188,-65.03112207538777,12.931110311937118,66.30430191385378,66.30430191385378,22.0,1.0,28.700000000000003,6.789755775955314,10.179821165972612,12.236402349886284,-313.2102442240447,250.1798211659726,400.8623205110749,8.41674240887282,286.0
06_LTAN06_800km_1213COLD_PX_STTLCT_HEAT_PX_0p5,4658.5,-735.4648734874414,-587.8419838468645,941.5236471310296,-274.5630410000721,289.1044766019599,398.70573343570123,-1010.0279144875135,-298.73750724490463,1053.2808202368897,1.0,4.5,13.234197306230499,6.404577728126242,14.702468983672413,-106.7658026937695,6.404577728126242,106.95772641899477,106.95772641899477,44.0,1.0,0.1,-10.568608424982585,1.4107218515709974,10.662345904307962,-10.568608424982585,1.4107218515709974,10.662345904307962,10.662345904307962,0.0,1.0,2.3000000000000003,12.332922651935974,13.076058591575134,17.974545597286774,-67.66707734806403,13.076058591575134,68.91891369659845,68.91891369659845,22.0,1.0,17.0,-5.131649425054661,10.5151984535309,11.70056512903554,-285.13164942505466,290.5151984535309,407.0615899791415,10.662345904307962,169.0
06_LTAN06_800km_1213COLD_PX_STTLCT_HEAT_PX_0p5,4719.0,-738.212749449222,-586.3040989248599,942.7144635919573,-420.54626977387767,232.91924290230241,480.739574754258,-1158.7590192230996,-353.38485602255747,1211.4467883885627,1.0,4.5,10.486321344449948,7.942462650130892,13.154681611038361,-109.51367865555005,7.942462650130892,109.80131386108184,109.80131386108184,44.0,1.0,0.1,-11.936067834077107,1.3710692630680796,12.014555599930453,-11.936067834077107,1.3710692630680796,12.014555599930453,12.014555599930453,0.0,1.0,2.3000000000000003,10.06341532833028,13.220696280497691,16.615027481519203,-69.93658467166972,13.220696280497691,71.17522522394147,71.17522522394147,22.0,1.0,52.1,7.517662392045281,-5.709687834629506,9.440115624805035,-432.4823376079547,234.2903121653705,491.8667733415093,12.014555599930453,520.0
06_LTAN06_800km_1213COLD_PX_STTLCT_HEAT_PX_0p5,4779.5,-740.8641466377239,-584.6775087169899,943.7835943545261,-375.9627781426152,304.9511539244802,484.09009164471166,-1116.8269247803391,-279.7263547925097,1151.3249816970942,1.0,4.5,7.834924155947988,9.569052858000873,12.367409151826099,-112.16507584405201,9.569052858000873,112.57251445935262,112.57251445935262,44.0,1.0,0.1,-12.254740293802115,1.195267896393716,12.312892633848742,-12.254740293802115,1.195267896393716,12.312892633848742,12.312892633848742,0.0,1.0,2.3000000000000003,8.281833839092656,13.343770291239252,15.704934808005396,-71.71816616090734,13.343770291239252,72.9489654694902,72.9489654694902,22.0,1.0,43.900000000000006,11.782481563582678,-13.853578179126089,18.18649224455679,-388.2175184364173,306.1464218208739,494.40719373271105,12.312892633848742,438.0
06_LTAN06_800km_1213COLD_PX_STTLCT_HEAT_PX_0p5,4840.0,-743.4309758810253,-582.9774562182421,944.7498771410908,-418.2002777078017,204.6728833137973,465.59903504932845,-1161.6312535888271,-378.30457290444474,1221.6797940519293,1.0,4.5,5.268094912646575,11.269105356748696,12.439676826596216,-114.73190508735343,11.269105356748696,115.28400921426604,115.28400921426604,44.0,1.0,0.1,-11.439818843913145,0.891517242759619,11.47450470284831,-11.439818843913145,0.891517242759619,11.47450470284831,11.47450470284831,0.0,1.0,2.3000000000000003,7.077907596084401,13.452474447840814,15.200850131111723,-72.9220924039156,13.452474447840814,74.1525497156707,74.1525497156707,22.0,1.0,51.900000000000006,10.359903448285081,5.564400556556961,11.759683372081094,-429.6400965517149,205.56440055655696,476.2849308356748,11.47450470284831,518.0
06_LTAN06_800km_1213COLD_PX_STTLCT_HEAT_PX_0p5,4900.5,-745.9178427666118,-581.2052912284626,945.6177973735255,-534.997176347862,295.93695739469155,611.3923956447388,-1280.9150191144738,-285.268333833771,1312.2961969316716,1.0,4.5,2.7812280270601377,13.041270346528222,13.334540171664758,-117.21877197293986,13.041270346528222,117.94199945352507,117.94199945352507,44.0,1.0,0.1,-9.492030794562083,0.49441930032116943,9.504898686963736,-9.492030794562083,0.49441930032116943,9.504898686963736,9.504898686963736,0.0,1.0,2.3000000000000003,6.498661549980284,13.571654861599086,15.047339220724648,-73.50133845001972,13.571654861599086,74.74380622919007,74.74380622919007,22.0,1.0,82.9,15.510792857575893,16.431376695012716,22.595903061485156,-544.4892071424241,296.4313766950127,619.951657618468,9.504898686963736,828.0
06_LTAN06_800km_1213COLD_PX_STTLCT_HEAT_PX_0p5,4961.0,-748.3634986978014,-579.4062451185835,946.4457317065941,-436.7135862347896,279.89857465740624,518.7118357019615,-1185.077084932591,-299.5076704611772,1222.3389635847368,1.0,4.5,0.3355720958704751,14.840316456407322,14.84410998200434,-119.66442790412952,14.840316456407322,120.58113574746643,120.58113574746643,44.0,1.0,0.1,-6.543041520512361,0.006564912933640699,6.54304481394026,-6.543041520512361,0.006564912933640699,6.54304481394026,6.54304481394026,0.0,1.0,2.3000000000000003,6.503257500017639,13.685346194568524,15.151932503041545,-73.49674249998236,13.685346194568524,74.76001510549543,74.76001510549543,22.0,1.0,52.300000000000004,-3.25662775530202,-0.0948604296601161,3.2580090297171944,-443.256627755302,279.9051395703399,524.2359442149058,6.54304481394026,522.0
06_LTAN06_800km_1213COLD_PX_STTLCT_HEAT_PX_0p5,5021.5,-750.7717489739192,-577.5857930727987,947.2399735108793,-450.00341945232935,238.56743283834908,509.3304404115949,-1200.7751684262485,-339.0183602344496,1247.7156942529577,1.0,4.5,-2.072678180247294,16.660768502192127,16.78919896607669,-122.0726781802473,16.660768502192127,123.20438289761393,123.20438289761393,44.0,1.0,0.1,-2.7834515472818566,-0.5191847108817456,2.83145815439309,-2.7834515472818566,-0.5191847108817456,2.83145815439309,2.83145815439309,0.0,1.0,2.3000000000000003,7.0325946071146745,13.819543994029573,15.50603698921608,-72.96740539288533,13.819543994029573,74.26454097328407,74.26454097328407,22.0,1.0,52.1,-12.786870999611097,-1.9517518725326681,12.934968315872677,-452.7868709996111,238.04824812746733,511.5495274029434,2.83145815439309,520.0
06_LTAN06_800km_1213COLD_PX_STTLCT_HEAT_PX_0p5,5082.0,-753.1467845740588,-575.7616410707855,948.0145286032106,-412.95316114472587,166.58959625017732,445.2891272849799,-1166.0999457187845,-409.1720448206081,1235.80372457281,1.0,4.5,-4.4477137803868345,18.48492050420532,19.012481266763505,-124.44771378038683,18.48492050420532,125.81305874674487,125.81305874674487,44.0,1.0,0.1,1.5116216141334462,-1.0337119260755117,1.8312728498031496,1.5116216141334462,-1.0337119260755117,1.8312728498031496,1.8312728498031496,0.0,1.0,2.3000000000000003,7.978731650409827,13.989211438963252,16.104601685023813,-72.02126834959017,13.989211438963252,73.36730287647012,73.36730287647012,22.0,1.0,43.1,-11.441539530592308,5.555884324101839,12.719146097631986,-411.4415395305923,165.55588432410184,443.5007229820932,1.8312728498031496,430.0
06_LTAN06_800km_1213COLD_PX_STTLCT_HEAT_PX_0p5,5142.5,-755.5031939127285,-574.0119726364069,948.8281302439726,-552.5814697160454,38.28812318034102,553.9063648760662,-1308.0846636287738,-535.7238494560659,1413.5365329898013,1.0,4.5,-6.804123119056612,20.234588938583897,21.347943248302457,-126.80412311905661,20.234588938583897,128.40842740843115,128.40842740843115,44.0,1.0,0.1,5.988622676125601,-1.5424980703636493,6.184084560715623,5.988622676125601,-1.5424980703636493,6.184084560715623,6.184084560715623,0.0,1.0,2.3000000000000003,9.183590755894784,14.148930746812084,16.86803427936523,-70.81640924410522,14.148930746812084,72.21603741210588,72.21603741210588,22.0,1.0,81.7,13.407152960080339,-3.254374890022632,13.796474419930652,-546.5928470399197,36.74562510997737,547.8265979303378,6.184084560715623,816.0
06_LTAN06_800km_1213COLD_PX_STTLCT_HEAT_PX_0p5,5203.0,-757.8430214491035,-572.3340448457943,949.680106166626,-429.6128457635365,13.184552598010843,429.8151110329346,-1187.45586721264,-559.1494922477834,1312.5165108518356,1.0,4.5,-9.143950655431581,21.912516729196454,23.743846002623123,-129.14395065543158,21.912516729196454,130.98976441042964,130.98976441042964,44.0,1.0,0.1,10.259986981484076,-1.967283072160626,10.446891190504115,10.259986981484076,-1.967283072160626,10.446891190504115,10.446891190504115,0.0,1.0,2.3000000000000003,10.473994389149766,14.333162251143563,17.752298402785698,-69.52600561085023,14.333162251143563,70.98806235077546,70.98806235077546,22.0,1.0,42.300000000000004,-19.352858782052408,11.21726952585027,22.368734399908103,-419.3528587820524,11.21726952585027,419.5028573255438,10.446891190504115,422.0
06_LTAN06_800km_1213COLD_PX_STTLCT_HEAT_PX_0p5,5263.5,-760.1747215023809,-570.7537532476623,950.5921596865375,-506.0155120602992,101.79990097920619,516.1539676153067,-1266.19023356268,-468.9538522684561,1350.242727485299,1.0,4.7,-11.47565070870894,-16.507191672671524,20.10417708105975,-131.47565070870894,23.492808327328476,133.5580726589862,133.5580726589862,46.0,1.0,0.1,13.910733943007585,-2.258991242676757,14.092961373239964,13.910733943007585,-2.258991242676757,14.092961373239964,14.092961373239964,0.0,1.0,2.3000000000000003,11.65734519750265,14.545548280359526,18.640457929729305,-68.34265480249735,14.545548280359526,69.87339579718152,69.87339579718152,22.0,1.0,60.7,-12.10477811729163,19.540909736529443,22.986361317095266,-492.10477811729163,99.54090973652944,502.0712154237133,14.092961373239964,606.0
