case_id,model,uses_nonthermal_error,success_rate,mean_acquisition_time_s,median_acquisition_time_s,p95_acquisition_time_s,mean_initial_error_urad,p95_initial_error_urad,mean_thermal_residual_urad,p95_thermal_residual_urad,mean_nonthermal_error_urad,p95_nonthermal_error_urad,mean_uncorrected_total_error_urad,p95_uncorrected_total_error_urad
05_LTAN06_800km_1213COLD_PX_ALL_HEAT_PX_0p5,bcase_correction_with_nonthermal,True,0.9568106312292359,135.17847222222224,79.55000000000001,542.13,668.8213687576051,1508.0172123920286,12.766141332624851,28.036732086507676,667.7019124857696,1510.3956796916775,907.3415660257511,1387.0243310301532
06_LTAN06_800km_1213COLD_PX_STTLCT_HEAT_PX_0p5,no_correction,False,1.0,120.64019933554819,130.5,161.5,885.4164017144143,1002.9762899637149,885.4164017144143,1002.9762899637149,0.0,0.0,885.4164017144143,1002.9762899637149
06_LTAN06_800km_1213COLD_PX_STTLCT_HEAT_PX_0p5,static_bias_correction,False,0.9900332225913622,6.526174496644296,4.5,21.200000000000003,131.99811095990484,293.3841079222674,131.99811095990484,293.3841079222674,0.0,0.0,885.4164017144143,1002.9762899637149
06_LTAN06_800km_1213COLD_PX_STTLCT_HEAT_PX_0p5,bcase_correction,False,1.0,0.1408637873754153,0.1,0.4,12.619076917859312,29.38319442254892,12.619076917859312,29.38319442254892,0.0,0.0,885.4164017144143,1002.9762899637149
06_LTAN06_800km_1213COLD_PX_STTLCT_HEAT_PX_0p5,thermal_truth_correction,False,1.0,0.09999999999999998,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,885.4164017144143,1002.9762899637149
06_LTAN06_800km_1213COLD_PX_STTLCT_HEAT_PX_0p5,thermal_plus_nonthermal_no_correction,True,0.9867109634551495,204.94242424242424,185.4,414.94,927.2591204866632,1401.7904547331352,885.4164017144143,1002.9762899637149,664.574949614544,1494.6942911251676,927.2591204866632,1401.7904547331352
06_LTAN06_800km_1213COLD_PX_STTLCT_HEAT_PX_0p5,bcase_correction_with_nonthermal,True,0.9700996677740864,126.81609589041096,76.2,511.5,666.1869319863104,1481.3156141158643,12.619076917859312,29.38319442254892,664.574949614544,1494.6942911251676,927.2591204866632,1401.7904547331352
08_LTAN06_800km_1213COLD_PY_ALL_HEAT_PY_0p5,no_correction,False,0.973421926910299,384.339590443686,403.70000000000005,483.5,1246.566439846495,1386.1268022660647,1246.566439846495,1386.1268022660647,0.0,0.0,1246.566439846495,1386.1268022660647
08_LTAN06_800km_1213COLD_PY_ALL_HEAT_PY_0p5,static_bias_correction,False,1.0,3.1893687707641205,1.5,13.4,96.61857088970524,258.1526423796267,96.61857088970524,258.1526423796267,0.0,0.0,1246.566439846495,1386.1268022660647
08_LTAN06_800km_1213COLD_PY_ALL_HEAT_PY_0p5,bcase_correction,False,1.0,0.09999999999999998,0.1,0.1,5.979192277011326,8.874664583853079,5.979192277011326,8.874664583853079,0.0,0.0,1246.566439846495,1386.1268022660647
08_LTAN06_800km_1213COLD_PY_ALL_HEAT_PY_0p5,thermal_truth_correction,False,1.0,0.09999999999999998,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1246.566439846495,1386.1268022660647
08_LTAN06_800km_1213COLD_PY_ALL_HEAT_PY_0p5,thermal_plus_nonthermal_no_correction,True,0.8538205980066446,368.29066147859925,378.5,633.3000000000001,1252.2985537970824,1695.2348354288417,1246.566439846495,1386.1268022660647,289.7305981752749,490.8841376086343,1252.2985537970824,1695.2348354288417
08_LTAN06_800km_1213COLD_PY_ALL_HEAT_PY_0p5,bcase_correction_with_nonthermal,True,0.9867109634551495,19.692255892255893,16.400000000000002,55.2,291.00080851007505,494.60795336135214,5.979192277011326,8.874664583853079,289.7305981752749,490.8841376086343,1252.2985537970824,1695.2348354288417
09_LTAN06_800km_1213COLD_MX_ALL_HEAT_MX_0p5,no_correction,False,0.9501661129568106,138.2853146853147,129.9,173.10000000000002,963.4263331953845,1076.784057684265,963.4263331953845,1076.784057684265,0.0,0.0,963.4263331953845,1076.784057684265
09_LTAN06_800km_1213COLD_MX_ALL_HEAT_MX_0p5,static_bias_correction,False,0.946843853820598,7.708771929824562,4.4,27.5,141.6948413985302,323.8809406348355,141.6948413985302,323.8809406348355,0.0,0.0,963.4263331953845,1076.784057684265
09_LTAN06_800km_1213COLD_MX_ALL_HEAT_MX_0p5,bcase_correction,False,1.0,0.13388704318936875,0.1,0.4,11.124837235837594,27.972368430616765,11.124837235837594,27.972368430616765,0.0,0.0,963.4263331953845,1076.784057684265
09_LTAN06_800km_1213COLD_MX_ALL_HEAT_MX_0p5,thermal_truth_correction,False,1.0,0.09999999999999998,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,963.4263331953845,1076.784057684265
09_LTAN06_800km_1213COLD_MX_ALL_HEAT_MX_0p5,thermal_plus_nonthermal_no_correction,True,0.9800664451827242,194.15593220338985,190.5,372.58000000000027,930.1188363142558,1407.7125100908327,963.4263331953845,1076.784057684265,566.660560164752,1295.9936119390386,930.1188363142558,1407.7125100908327
