time_s,r_x_urad,r_y_urad,r_norm_urad,r_hat_x_urad,r_hat_y_urad,r_hat_norm_urad
1815.0,4.691510742418057,-331.48745130388977,331.5206488968597,169.5221695379342,-313.1279885574198,356.07148605703287
1875.5,-98.81842144047694,-454.803704782349,465.4153954262125,183.36263914575025,-314.37217787483274,363.93917576466004
1936.0,80.6892492581838,-386.11837116137116,394.45931538519875,195.8603435308968,-313.9779094745511,370.05864644141246
1996.5,65.68181254337688,-395.95926283947733,401.36995194877954,206.85557610981905,-311.907433704031,374.26658489312086
2057.0,166.91495459965998,-387.75976518506604,422.15901928702664,216.21325374744666,-308.1323694181723,376.42227375557195
2117.5,166.73468649962433,-486.90388322072215,514.6609050409276,223.8248950195942,-302.6343918998924,376.41089090400936
2178.0,93.63801512087795,-400.7569646531292,411.550996346464,229.61017609770946,-295.40582857999556,374.1462769113905
2238.5,237.8917477343508,-328.8101970773653,405.84310927026934,233.51804034151968,-286.4501519572075,369.57321970247096
2299.0,65.09640982356972,-320.69789212471164,327.2379571277625,235.52734472872604,-275.7823604827269,362.6693266163943
2359.5,54.35281809919002,-381.0073167755305,384.86465708325716,235.64703355795135,-263.4292396884516,353.4465854234525
2420.0,138.49206807283352,-317.8884474682485,346.7464750402861,233.9158373164668,-249.42949748131832,341.95276451762567
2480.5,115.12620378798022,-343.52825213334177,362.3060899466367,230.40150209029315,-233.833769272984,328.27288011329
2541.0,97.61727467133232,-198.43791551615487,221.14867991614818,225.19956229309955,-216.7044904377999,312.53108490662197
2601.5,194.01559951041875,-322.8010800095512,376.61995447495855,218.43167668529662,-198.1156354648267,294.893544173456
2662.0,167.43159048411525,-239.5230887479625,292.24073558524447,210.24355453246423,-178.15232506286793,275.5732264712068
2722.5,236.2303234023295,-318.86540563567036,396.83738811504367,200.80250520438204,-156.91030436212384,254.8381637654969
2783.0,252.53159077742438,-190.8472973585949,316.53577246443484,190.29465044079447,-134.4952972031877,233.02583323777205
2843.5,236.47504268075116,-208.31111468626588,315.141184729476,178.92184381429627,-111.02224328530306,210.56819488709223
2904.0,280.3712222024427,-134.99453409616697,311.1776766979481,166.89834652082718,-86.61442663371643,188.03488232898053
2964.5,234.7195712953435,-66.47938004456465,243.95242388666588,154.4473124517671,-61.40250541458542,166.20541505848104
3025.0,220.6436828705068,-38.19360063711237,223.9249560015319,141.7971384883401,-35.52345455110114,146.17915140924046
3085.5,225.1204283601495,-90.36194663657673,242.57882979561253,129.17773806197047,-9.119433854312742,129.49923584573864
3146.0,212.691637102233,-72.38903923268654,224.67288553419036,116.81679721031549,17.663404542835817,118.14465696983441
3206.5,203.4920547574187,5.5752001513145615,203.56841406790866,104.93607260934972,44.67615478603374,114.05059465491779
3267.0,228.6351736962605,19.06940072881315,229.42904065369595,93.74779037321619,71.76842661356608,118.06504672614714
