case_index,rel_dx_um,rel_dy_um,rel_dz_um,rel_axial_um,rel_transverse_um,stt_rx_urad,stt_ry_urad,stt_rz_urad,lct_rx_urad,lct_ry_urad,lct_rz_urad,rel_rx_urad,rel_ry_urad,rel_rz_urad,centerline_angle_x_urad,centerline_angle_y_urad,centerline_angle_z_urad,centerline_angle_magnitude_urad,stt_rotation_angle_x_urad,stt_rotation_angle_y_urad,stt_rotation_angle_z_urad,stt_rotation_angle_magnitude_urad,lct_rotation_angle_x_urad,lct_rotation_angle_y_urad,lct_rotation_angle_z_urad,lct_rotation_angle_magnitude_urad,relative_rotation_angle_x_urad,relative_rotation_angle_y_urad,relative_rotation_angle_z_urad,relative_rotation_angle_magnitude_urad,far_field_los_angle_x_urad,far_field_los_angle_y_urad,far_field_los_angle_z_urad,far_field_los_angle_magnitude_urad,global_los_angle_x_urad,global_los_angle_y_urad,global_los_angle_z_urad,global_los_angle_magnitude_urad,stt_relative_los_angle_x_urad,stt_relative_los_angle_y_urad,stt_relative_los_angle_z_urad,stt_relative_los_angle_magnitude_urad
11.0,39.9021432713198,-170.39530212059617,756.1840340031267,-756.1840340031267,175.00497142199754,-12.097269973310176,-18.435426682117395,-17.585498426342383,-448.8410777412355,-57.93021773570217,-15.64788180985488,-436.7438077679253,-39.49479105358478,1.937616616487503,44.37299629669471,-189.48731797587234,0.018937203472013664,194.6134796822559,18.435320311420913,-12.097432069776618,0.0002431044254791459,22.050145071349267,57.926704049840616,-448.8415156440052,0.1024071097921464,452.56403879195443,39.49521290874182,-436.7437555067687,0.09615249452199492,438.52591692722444,39.49521290874182,-436.7437555067687,0.09615249452199492,438.52591692722444,102.29969138302057,-638.3287776894114,0.20896444941076453,646.4741721704892,83.8682021177413,-626.2310205599064,0.19959960306792368,631.8221003082784
12.0,39.1150351788383,-178.63154062069952,755.9585834258087,-755.9585834258087,182.86392011976113,-13.362160643737298,-19.87699761230033,-18.38564821809996,-465.356424683705,-54.93464777828194,-16.39934998820536,-451.9942640399677,-35.05765016598161,1.9862982298946008,43.4976853541003,-198.64633925833888,0.020676208523084938,203.35293637393926,19.87687477327653,-13.362343367466298,0.0002868211224082984,23.950832365965642,54.93082999407655,-465.35685807903496,0.10978720677012888,468.58766676581365,35.05809786276677,-451.9942137392952,0.1027639250361645,453.35178336426446,35.05809786276677,-451.9942137392952,0.1027639250361645,453.35178336426446,98.42850601412306,-664.0031343694268,0.22529419207995005,671.2587677256777,78.55577604378676,-650.6404935863884,0.21475205391752183,655.3655940344905
13.0,38.35510960925603,-185.7541974459309,763.2360271827565,-763.2360271827565,189.67270837397754,-14.121288586466108,-20.90108500851784,-18.98796654131729,-480.5648641195148,-53.13421570463106,-16.969692296697758,-466.4435755330487,-32.23313069611322,2.0182742446195334,42.65295892329386,-206.56872667569436,0.022244957209593963,210.92632302614558,20.90095093775971,-14.121487018683519,0.00031813307543870906,25.22431655608305,53.13013611306239,-480.56529620881275,0.11688291445821619,483.49334564568363,32.23360022720379,-466.44352601032244,0.1093042899524832,467.5559516684068,32.23360022720379,-466.44352601032244,0.1093042899524832,467.5559516684068,95.78308531093293,-687.1339531157316,0.24066376336229212,693.7776797765506,74.88655183202206,-673.0121869142174,0.22927672593819892,677.165710428657
14.0,37.56125033760327,-186.8932376964949,784.1902591678718,-784.1902591678718,190.63034864260896,-13.744377611146774,-21.02150938299019,-18.95590321510099,-484.39198872074485,-52.92124842526391,-16.959205822786316,-470.6476111095981,-31.899739042273723,1.9966973923146725,41.77111777470054,-207.84024421306125,0.022471197014262145,211.99621080267647,21.021379110984192,-13.744576849713653,0.00031540581257871736,25.11596648559253,52.9171388768529,-484.3924182799853,0.11871812621855327,487.2742949038502,31.900207729581673,-470.6475618069413,0.11126338150813098,471.72741142317466,31.900207729581673,-470.6475618069413,0.11126338150813098,471.72741142317466,94.6882469093975,-692.2325912715584,0.2440759420130334,698.6786274971573,73.67131819962302,-678.4877387465801,0.23288656447739697,682.4756953582433
15.0,35.773733543464914,-183.1410190789029,784.8320874757064,-784.8320874757064,186.60223171467672,-12.925296687171794,-20.337301975814626,-18.482533050701022,-476.9995284732431,-48.75387821812183,-16.482448700116947,-464.0742317860713,-28.4165762423072,2.000084350584075,39.78328441261244,-203.66762224522301,0.021531605276514654,207.51677057451928,20.33718252658047,-12.925484627607414,0.00029033453419202715,24.09707754019075,48.74994528772913,-476.9999119658177,0.11495274321315918,479.4845911819841,28.417039312270788,-464.07418664798155,0.10808619521629481,464.9434146606023,28.417039312270788,-464.07418664798155,0.10808619521629481,464.9434146606023,88.5332209276849,-680.6674667644717,0.2355731936187766,686.4009990664301,68.20031720169972,-667.741745025438,0.2252651860601418,671.2155550313398
16.0,34.622075872903224,-181.71964984503575,779.6226587117872,-779.6226587117872,184.9884301180792,-12.848955520894378,-19.98216612264514,-18.314680346520618,-473.6946721095592,-45.736818719888106,-16.31588202144485,-460.8457165886648,-25.754652597242966,1.998798325075768,38.50232491688837,-202.0857740535605,0.021160544760867595,205.7209009771062,19.98204845738021,-12.849138502478167,0.00028219127035100655,23.756738429526845,45.73295261833705,-473.6950273265284,0.11323924731243551,475.89755396416103,25.75511225157026,-460.8456744859256,0.10652103643593591,461.56479664233353,25.75511225157026,-460.8456744859256,0.10652103643593591,461.56479664233353,84.23526932331022,-675.7807354996786,0.23188761832937388,681.0104133348161,64.25743112042169,-662.9313861430685,0.2218035447532074,666.0383173570166
17.0,35.88867730286438,-184.6017621573992,775.85374026512,-775.85374026512,188.0579903917037,-13.56512166239554,-20.330433471826836,-18.66124148364179,-479.1534738615155,-47.78878064826131,-16.644777133478783,-465.58835219912,-27.458347176434472,2.0164643501630053,39.91071265969883,-205.29003684819546,0.021868432287242,209.13360374205405,20.33030689762232,-13.5653113558144,0.0002986695335494005,24.44052067227081,47.78479109792632,-479.15385303915383,0.11593590720782032,481.5306855669112,27.458815602078104,-465.5883076347839,0.10876323530695231,466.3973185605714,27.458815602078104,-465.5883076347839,0.10876323530695231,466.3973185605714,87.69549496416681,-684.4438212563639,0.23807695048727595,690.0390165005335,67.36952174872471,-670.878279624789,0.22730818505234396,674.2524145547931
18.0,38.47457765004947,-185.79998140921816,771.1528914171595,-771.1528914171595,189.74173556973568,-13.982446944282856,-20.22059925366193,-18.878419723478146,-481.4463318325579,-53.390569519251585,-16.839909221744165,-467.46388488827506,-33.169970265589654,2.038510501733981,42.78619054232827,-206.62146001037746,0.022261543164425746,211.00494268605283,20.220467267181537,-13.982637808511296,0.00030219071689430166,24.584170854173006,53.3865136726095,-481.4467625281149,0.11732055937851982,484.39767236323377,33.17044551643046,-467.4638339683366,0.10981136322474327,468.6392157343803,33.17044551643046,-467.4638339683366,0.10981136322474327,468.6392157343803,96.17269442826628,-688.0681525196891,0.24134351395144193,694.7567701472586,75.95662861445507,-674.0852279134446,0.2300801783539086,678.351165637382
19.0,40.013755324253,-179.62504352908581,764.6853378844298,-764.6853378844298,184.02786984034552,-13.23256492469227,-19.06828401843086,-18.340417227591388,-468.58747373335063,-57.715635193744674,-16.330946891685016,-455.35490880865837,-38.647351175313815,2.0094703359063715,44.497534553981964,-199.7530978141259,0.020940665645952095,204.64928699539263,19.068162670269995,-13.23273978290326,0.0002693500977812846,23.209916625914637,57.71180680848772,-468.58792757956047,0.11145265543799354,472.1284767077788,38.64780734117433,-455.3548541284835,0.10442085351947128,456.9920088914609,38.64780734117433,-455.3548541284835,0.10442085351947128,456.9920088914609,102.20933153300635,-668.340961119389,0.2285632200171861,676.1112244020304,83.14533418939031,-655.1078912283415,0.21803977179324363,660.3631544439089
20.0,40.45681203024287,-170.3204652585555,757.9466015954495,-757.9466015954495,175.05945997157997,-11.965066732955165,-18.017566617345437,-17.516249499749392,-449.1732397582382,-59.55387678113766,-15.565219655400142,-437.20817302528303,-41.53631016379222,1.9510298443492502,44.98990134050109,-189.40446722600188,0.018949071978191512,194.67445499549663,18.01746182346285,-11.965224531520713,0.00023389779002513933,21.62858129072839,59.55037900095434,-449.1736878552246,0.10265162997402655,453.10401620446936,41.536735331627945,-437.20811845120375,0.0964381242640755,439.17677445608564,41.536735331627945,-437.20811845120375,0.0964381242640755,439.17677445608564,104.54027116755876,-638.5780990430181,0.20935535050004006,647.078555411305,86.52662934523555,-626.6125326169707,0.20006508172354387,632.5583954217208
