time_s,temperature,femap_node_id,x_mm,y_mm,z_mm,mapped_entity_name,target_x_mm,target_y_mm,target_z_mm
5144.56,48.8146,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
5205.08,48.9153,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
5265.61,49.0158,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
5326.13,49.1161,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
5386.65,49.2163,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
5447.18,49.3168,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
5507.7,49.4178,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
5568.23,49.5191,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
5628.75,49.6206,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
5689.27,49.7223,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
5749.8,49.8242,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
5810.32,49.9263,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
5870.85,50.0287,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
5931.37,50.1309,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
5991.9,50.2324,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
6052.42,50.3332,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
6112.94,50.433,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
6173.47,50.532,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
6233.99,50.63,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
6294.52,50.7273,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
6355.04,50.8243,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
6415.57,50.9207,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
6476.09,51.0175,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
6536.61,51.1146,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
6597.14,51.2124,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
6657.66,51.3112,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
6718.19,51.411,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
6778.71,51.5109,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
6839.23,51.6102,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
6899.76,51.7091,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
6960.28,51.8083,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
7020.81,51.908,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
7081.33,52.0079,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
7141.86,50.4805,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
7202.38,48.9959,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
7262.9,47.5567,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
7323.43,46.1666,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
7383.95,44.8266,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
7444.48,43.5369,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
7505.0,42.2966,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
7565.52,41.1048,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
7626.05,39.959,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
7686.57,38.8568,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
7747.1,37.797,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
7807.62,36.7773,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
7868.15,35.7954,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
7928.67,34.8497,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
7989.19,33.9378,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
8049.72,33.0582,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
8110.24,32.2084,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
8170.77,33.0191,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
8231.29,33.818,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
8291.82,34.5998,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
8352.34,35.3591,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
8412.86,36.0928,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
8473.39,36.7985,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
8533.91,37.4747,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
8594.44,38.1208,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
8654.96,38.7372,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
8715.48,39.3242,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
8776.01,39.8825,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
8836.53,40.4132,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
8897.06,40.9171,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
8957.58,41.3953,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
9018.11,41.8498,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
9078.63,42.2815,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
9139.15,42.6909,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
9199.68,43.0784,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
9260.2,43.4453,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
9320.73,43.7933,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
9381.25,44.123,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
